SKU,Name,Categories,Tags,Images,תצוגה
1024,"זירקון סוליטר (3.5 מ""מ)","פירסינג, צמודים","טיטניום, סוליטר, זירקון, 3.5מ""מ, משובץ",https://avintattoo.com/wp-content/uploads/2026/04/d79ed7a7d798-1024-d796d799d7a8d7a7d795d79f-d792d795d793d79c-3.5d79ed79e-d798d799d798d7a0d799d795d79d.jpg,
1069,פרפר זירקונים,"פירסינג, צמודים","ציפוי זהב, פרפר, זירקון, משובץ",https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1069-d7a4d7a8d7a4d7a8-d7a2d79d-d796d7a8d7a7d795d7a0d799d79d-d7a6d799d7a4d795d799-d796d794d791.jpg,
1039,שורה דקה משובצת,"פירסינג, צמודים","טיטניום, שורה, משובץ, זירקון",https://avintattoo.com/wp-content/uploads/2026/04/d79ed7a7d798-1039-d7a9d795d7a8d794-d796d799d7a8d7a7d795d7a0d799d79d-d793d7a7d794-d798d799d798d7a0d799d795d79d.jpg,
1041,טיפה תלויה זירקון,"פירסינג, עגילים תלויים","ציפוי זהב, טיפה, זירקון, משובץ",https://avintattoo.com/wp-content/uploads/2026/04/d79ed7a7d798-1041-d798d799d7a4d794-d7aad79cd795d799d794-d796d7a8d7a7d795d79f-d7a6d799d7a4d795d799-d796d794d791.jpg,
1037,לוטוס שחור מנוקד,"פירסינג, צמודים","טיטניום, לוטוס, שחור",https://avintattoo.com/wp-content/uploads/2026/04/d79ed7a7d798-1037-d79cd795d798d795d7a1-d7a9d797d795d7a8-d7a2d79d-d7a0d7a7d795d793d794-d798d799d798d7a0d799d795d79d.jpg,
1018,מרקיזה משולשת,"פירסינג, צמודים","טיטניום, מרקיזה, משולש",https://avintattoo.com/wp-content/uploads/2026/04/d79ed7a7d798-1018-d79ed7a8d7a7d799d796d794-d790d79d-d7a9d79cd795d7a9d794-d79ed79cd791d7a0d799d79d-8d79ed79e.jpg,
1068,לב משובץ קטן,"פירסינג, צמודים","ציפוי זהב, לב, משובץ, מיניאטורי",https://avintattoo.com/wp-content/uploads/2026/04/d79ed7a7d798-1068-d79cd791-d79ed7a9d795d791d7a5-d796d799d7a8d7a7d795d7a0d799d79d-d7a7d798d79f-d7a6d799d7a4d795d799-d796d794d791.jpg,
20020,"קליקר מרקיזות שחור 9מ""מ","פירסינג, חישוקים וקליקרים","מרקיזה, צבע שחור, משובץ, 9מ""מ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%9E%D7%A8%D7%A7%D7%99%D7%96%D7%95%D7%AA-%D7%A9%D7%97%D7%95%D7%A8-9%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-20020.jpg,
20019,"קליקר ירח 9מ""מ","פירסינג, חישוקים וקליקרים","ירח, 9מ""מ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%99%D7%A8%D7%97-9%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-20019.jpg,
20018,קליקר טיטניום שתי שורות זירקונים,"פירסינג, חישוקים וקליקרים","טיטניום, זירקון, משובץ, שורה",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%A9%D7%AA%D7%99-%D7%A9%D7%95%D7%A8%D7%95%D7%AA-%D7%96%D7%99%D7%A8%D7%A7%D7%95%D7%A0%D7%99%D7%9D-%D7%9E%D7%A7%D7%98-20018.jpg,
20017,"קליקר טיטניום שיבוץ שחור עדין 8מ""מ","פירסינג, חישוקים וקליקרים","טיטניום, משובץ, אבן שחורה, 8מ""מ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%A9%D7%99%D7%91%D7%95%D7%A5-%D7%A9%D7%97%D7%95%D7%A8-%D7%A2%D7%93%D7%99%D7%9F-8%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-20017.jpg,
20016,קליקר טיטניום שיבוץ צידי,"פירסינג, חישוקים וקליקרים","טיטניום, משובץ, שיבוץ צד",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%A9%D7%99%D7%91%D7%95%D7%A5-%D7%A6%D7%99%D7%93%D7%99-%D7%9E%D7%A7%D7%98-20016.jpg,
20015,"קליקר טיטניום שורת זירקונים 8מ""מ","פירסינג, חישוקים וקליקרים","טיטניום, משובץ, זירקון, שורה, 8מ""מ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%A9%D7%95%D7%A8%D7%AA-%D7%96%D7%99%D7%A8%D7%A7%D7%95%D7%A0%D7%99%D7%9D-8%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-20015.jpg,
20014,"קליקר טיטניום נחש 9מ""מ","פירסינג, חישוקים וקליקרים","טיטניום, נחש, 9מ""מ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%A0%D7%97%D7%A9-9%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-20014.jpg,
20013,"קליקר טיטניום לב 10מ""מ","פירסינג, חישוקים וקליקרים","טיטניום, לב, 10מ""מ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%9C%D7%91-10%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-20013.jpg,
20012,"קליקר טיטניום דמוי לחץ מידה 10מ""מ","פירסינג, חישוקים וקליקרים","טיטניום, חישוק לחץ, 10מ""מ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%93%D7%9E%D7%95%D7%99-%D7%9C%D7%97%D7%A5-%D7%9E%D7%99%D7%93%D7%94-10%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-20012.jpg,
20011,"קליקר טיטניום 14מ""מ","פירסינג, חישוקים וקליקרים","טיטניום, חלק, ללא שיבוץ, 14מ""מ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-14%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-20011.jpg,
20015-B,"קליקר טיטניום קלאסי 6מ""מ 0.8","פירסינג, חישוקים וקליקרים","טיטניום, קלאסי, חלק, ללא שיבוץ, 6מ""מ, עובי 0.8",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%A7%D7%9C%D7%90%D7%A1%D7%99-6%D7%9E%D7%9E-0.8-%D7%9E%D7%A7%D7%98-20015.jpg,
20010,"קליקר זירקונים שחורים 8מ""מ","פירסינג, חישוקים וקליקרים","זירקון, אבן שחורה, משובץ, 8מ""מ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%96%D7%99%D7%A8%D7%A7%D7%95%D7%A0%D7%99%D7%9D-%D7%A9%D7%97%D7%95%D7%A8%D7%99%D7%9D-8%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-20010.jpg,
10091,פרסה טיטניום ציפוי שחור,"פירסינג, פרסות","טיטניום, ציפוי שחור",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A4%D7%A8%D7%A1%D7%94-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%A6%D7%99%D7%A4%D7%95%D7%99-%D7%A9%D7%97%D7%95%D7%A8-%D7%9E%D7%A7%D7%98-10091.jpg,
10090,"פרסה טיטניום 10מ""מ כדור 3מ""מ","פירסינג, פרסות","טיטניום, כדורים, 10מ""מ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A4%D7%A8%D7%A1%D7%94-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-10%D7%9E%D7%9E-%D7%9B%D7%93%D7%95%D7%A8-3%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-10090.jpg,
10088,"סיליקון לאברט 6מ""מ","פירסינג, לאברט","סיליקון, 6מ""מ, קיפר, שקוף",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A1%D7%99%D7%9C%D7%99%D7%A7%D7%95%D7%9F-%D7%9C%D7%91%D7%A8%D7%98-6%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-10088.jpg,
10087,"סיליקון בננה 8מ""מ","פירסינג, בננות","סיליקון, 8מ""מ, קיפר, שקוף",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A1%D7%99%D7%9C%D7%99%D7%A7%D7%95%D7%9F-%D7%91%D7%A0%D7%A0%D7%94-8%D7%9E%D7%9E-%D7%9E%D7%A7%D7%98-10087.jpg,
10086,נוצה חלק טיטניום,"פירסינג, צמודים","טיטניום, נוצה, חלק, ללא שיבוץ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%A0%D7%95%D7%A6%D7%94-%D7%97%D7%9C%D7%A7-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%9E%D7%A7%D7%98-10086.jpg,
10085,לוטוס מנדלה,"פירסינג, צמודים","לוטוס, מנדלה",https://avintattoo.com/wp-content/uploads/2026/04/%D7%9C%D7%95%D7%98%D7%95%D7%A1-%D7%9E%D7%A0%D7%93%D7%9C%D7%94-%D7%9E%D7%A7%D7%98-10085.jpg,
10084,לאברט טיטניום כוכב,"פירסינג, לאברט","טיטניום, כוכב",https://avintattoo.com/wp-content/uploads/2026/04/%D7%9C%D7%91%D7%A8%D7%98-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%9B%D7%95%D7%9B%D7%91-%D7%9E%D7%A7%D7%98-10084.jpg,
10083,לאברט טיטניום אופל ורוד,"פירסינג, לאברט","טיטניום, אופל, אבן ורודה, משובץ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%9C%D7%91%D7%A8%D7%98-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%90%D7%95%D7%A4%D7%9C-%D7%95%D7%A8%D7%95%D7%93-%D7%9E%D7%A7%D7%98-10083.jpg,
10082,"לב מניאטורי חלק 3מ""מ צבע כסף","פירסינג, צמודים","לב, צבע כסף, 3מ""מ, מיניאטורי, חלק, ללא שיבוץ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%9C%D7%91-%D7%9E%D7%A0%D7%99%D7%90%D7%98%D7%95%D7%A8%D7%99-%D7%97%D7%9C%D7%A7-3%D7%9E%D7%9E-%D7%A6%D7%91%D7%A2-%D7%9B%D7%A1%D7%A3-%D7%9E%D7%A7%D7%98-10082.jpg,
10081,"לב מניאטורי 3מ""מ צבע זהב","פירסינג, צמודים","ציפוי זהב, לב, 3מ""מ, מיניאטורי, חלק, ללא שיבוץ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%9C%D7%91-%D7%9E%D7%A0%D7%99%D7%90%D7%98%D7%95%D7%A8%D7%99-3%D7%9E%D7%9E-%D7%A6%D7%91%D7%A2-%D7%96%D7%94%D7%91-%D7%9E%D7%A7%D7%98-10081.jpg,
PILLOW-01,כרית פירסינג עם תמונה,"אקססוריז, כריות פירסינג","כרית, תמונה, מתנה",https://avintattoo.com/wp-content/uploads/2026/04/%D7%9B%D7%A8%D7%99%D7%AA-%D7%A4%D7%99%D7%A8%D7%A1%D7%99%D7%A0%D7%92-%D7%AA%D7%9E%D7%95%D7%A0%D7%94.jpg,
PILLOW-02,כרית פירסינג,"אקססוריז, כריות פירסינג","כרית, מתנה",https://avintattoo.com/wp-content/uploads/2026/04/%D7%9B%D7%A8%D7%99%D7%AA-%D7%A4%D7%99%D7%A8%D7%A1%D7%99%D7%A0%D7%92.jpg,
30014,טבור טיטניום קליקר חלק,"פירסינג, טבור","טיטניום, חישוק לטבור, קליקר, חלק, ללא שיבוץ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%98%D7%91%D7%95%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%A7%D7%9C%D7%99%D7%A7%D7%A8-%D7%97%D7%9C%D7%A7-%D7%9E%D7%A7%D7%98-30014.jpg,
10080,טיטניום טיפה,"פירסינג, צמודים","טיטניום, טיפה, חלק, ללא שיבוץ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%98%D7%99%D7%A4%D7%94-%D7%9E%D7%A7%D7%98-10080.jpg,
30012,טבור טיטניום פלוס זירקון,"פירסינג, טבור","טיטניום, זירקון, משובץ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%98%D7%91%D7%95%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%A4%D7%9C%D7%95%D7%A1-%D7%96%D7%99%D7%A8%D7%A7%D7%95%D7%9F-%D7%9E%D7%A7%D7%98-30012.jpg,
30013,טבור טיטניום קלאסי,"פירסינג, טבור","טיטניום, קלאסי, חלק, ללא שיבוץ",https://avintattoo.com/wp-content/uploads/2026/04/%D7%98%D7%91%D7%95%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%A7%D7%9C%D7%90%D7%A1%D7%99-%D7%9E%D7%A7%D7%98-30013.jpg,
30011,טבור טיטניום ללא שיבוץ,"פירסינג, טבור","טיטניום, ללא שיבוץ, חלק",https://avintattoo.com/wp-content/uploads/2026/04/%D7%98%D7%91%D7%95%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-%D7%9C%D7%9C%D7%90-%D7%A9%D7%99%D7%91%D7%95%D7%A5-%D7%9E%D7%A7%D7%98-30011.jpg,
30010,"טבור טיטניום 12מ""מ","פירסינג, טבור","טיטניום, 12מ""מ, בננה לטבור",https://avintattoo.com/wp-content/uploads/2026/04/%D7%98%D7%91%D7%95%D7%A8-%D7%98%D7%99%D7%98%D7%A0%D7%99%D7%95%D7%9D-12%D7%9E%D7%9C-%D7%9E%D7%A7%D7%98-30010.jpg,
